Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,C10uf,C_1206_3216Metric,68.27,11.6,270,top
C2,C100nf,C_0805_2012Metric,64.27,11.0625,270,top
C3,C10uf,C_1206_3216Metric,64.27,16,90,top
IC3,CPC1972GSTR,SOP254P952X470-6N,56.066,43.112,90,top
Q1,S8050 J3Y,SOT-23,27,40,180,top
Q2,S8050 J3Y,SOT-23,19,40,0,top
R1,R10k,R_0805_2012Metric,68.3325,16,270,top
R2,R470,R_0805_2012Metric,37.9375,13,0,top
R3,R470,R_0805_2012Metric,37.9375,15,0,top
R4,R470,R_0805_2012Metric,35.4815,29.4,270,top
R5,R470,R_0805_2012Metric,22.792,8.568,0,top
R6,R10k,R_0805_2012Metric,23,39,0,top
R7,R10k,R_0805_2012Metric,23.0625,41,180,top
R8,R220,R_0805_2012Metric,60,37.0625,270,top
R9,R220,R_0805_2012Metric,2.54,29.2245,90,top
R10,R220,R_0805_2012Metric,14.3995,66.738,0,top
S4,TS-1187A-B-A-B,TS1187ABAB,16.002,4.762,180,top
S5,TS-1187A-B-A-B,TS1187ABAB,59.436,57.34,0,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,51,18,90,top
